@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0,89,27,100,42,75,29,45,15,15,37,0,69,2,100,6,2
100,100,72,99,36,78,34,54,79,47,64,13,19,0,0,2,5
29,91,14,57,66,39,30,0,0,19,3,72,39,97,100,100,5
100,99,67,100,24,68,0,32,27,0,99,8,77,40,9,55,6
51,76,68,91,100,100,83,80,59,60,34,40,10,20,0,0,1
57,63,100,100,0,91,36,53,95,16,2,0,5,36,91,67,8
35,76,0,42,11,0,65,5,100,41,97,85,49,100,9,69,0
34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,4
0,75,31,72,67,84,100,100,94,82,80,54,68,27,56,0,1
0,97,42,100,67,71,53,35,34,0,16,23,40,42,100,42,7
41,69,76,100,73,81,57,39,46,0,0,10,50,9,100,10,1
40,72,16,50,96,69,70,100,0,73,65,57,100,47,94,0,9
14,91,9,52,28,10,74,0,100,38,86,81,43,100,0,80,0
9,100,0,66,20,25,61,0,100,21,93,64,54,91,9,76,0
22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,7
14,94,4,63,43,36,36,0,10,27,0,72,47,92,100,100,5
19,73,54,91,100,100,99,78,86,52,78,26,43,8,0,0,3
29,47,59,71,100,100,90,81,74,50,66,18,0,0,99,7,1
89,87,38,100,17,78,80,77,100,76,92,34,61,0,0,4,9
0,87,55,100,100,81,74,41,49,0,20,10,32,32,99,35,7
52,100,29,73,0,47,19,42,69,37,100,54,90,30,88,0,4
0,100,50,97,100,91,74,63,55,29,42,0,20,31,68,36,7
14,55,40,61,59,100,58,62,59,21,100,14,48,5,0,0,1
0,67,38,66,62,30,38,0,8,30,45,63,100,90,58,100,8
34,76,0,41,7,0,62,0,100,33,95,74,49,100,0,83,0
0,45,0,61,48,82,100,100,97,78,72,51,45,24,33,0,1
62,45,95,75,69,100,4,86,0,59,74,57,100,32,94,0,9
41,79,47,100,84,94,71,52,42,16,0,3,49,7,100,0,2
100,97,56,100,22,83,18,50,53,47,68,22,37,0,0,6,5
0,95,52,100,100,79,83,44,67,8,45,0,3,30,84,38,7
93,91,40,100,15,79,23,36,72,53,100,21,57,0,0,6,5
100,100,54,90,17,66,0,35,16,5,66,0,66,29,22,47,6
92,65,50,100,0,82,47,46,87,6,42,0,54,45,100,79,8
43,100,98,96,77,97,37,70,60,53,100,20,47,0,0,14,5
100,100,66,100,25,69,0,35,14,0,77,0,72,34,10,51,6
43,99,8,68,73,74,62,25,0,0,7,49,20,96,100,100,5
5,79,19,100,25,66,14,32,0,3,34,0,66,5,100,7,2
73,100,49,62,0,38,56,43,100,57,88,78,65,39,49,0,4
15,100,8,70,0,39,19,20,78,21,100,43,76,30,72,0,4
18,78,53,100,90,81,43,57,90,55,100,22,52,0,0,16,3
0,98,4,100,59,100,100,87,96,64,75,43,51,22,40,0,7
23,83,0,48,10,9,53,0,91,23,100,63,75,97,31,100,0
64,60,76,100,13,99,39,75,100,87,98,44,65,6,0,0,9
76,100,34,77,7,48,0,17,47,0,100,13,78,37,21,29,6
0,72,62,95,74,100,69,74,72,49,79,23,51,0,100,0,1
33,100,0,66,28,40,55,12,1,0,10,46,44,84,100,92,5
15,90,57,100,82,85,60,62,100,47,86,23,44,8,0,0,3
32,72,57,100,76,71,56,35,21,7,0,4,51,0,100,6,2
93,100,52,82,19,52,12,18,60,0,100,21,44,32,0,10,6
68,46,89,75,52,100,0,80,6,53,72,54,100,33,89,0,9
29,97,31,70,61,42,50,0,0,20,17,60,41,98,100,100,5
53,79,44,55,22,10,0,0,32,36,66,69,100,100,61,83,8
29,100,3,82,0,52,60,51,100,78,90,56,81,27,75,0,4
0,75,36,100,63,73,47,34,14,4,4,10,52,9,100,0,2
15,73,42,100,32,72,27,39,44,7,100,0,52,5,0,3,1
81,90,29,82,0,42,10,0,70,16,100,56,96,100,47,82,0
0,96,10,100,59,99,100,87,93,64,69,43,44,22,25,0,7
78,99,0,100,17,63,57,28,47,0,7,31,45,65,100,95,8
100,100,65,85,33,64,10,39,0,11,35,0,54,22,10,24,6
57,68,52,100,4,71,48,37,63,0,0,13,27,49,100,78,8
75,100,0,89,70,61,100,26,32,0,7,31,63,63,95,99,8
35,85,22,38,45,0,87,12,100,57,81,100,37,97,0,72,0
62,77,76,100,95,83,56,58,95,52,100,21,55,2,0,0,3
36,84,9,86,0,38,27,0,72,9,100,47,88,94,46,100,0
15,72,0,39,57,42,43,0,16,15,11,62,36,93,100,100,5
55,91,100,100,64,94,27,69,53,52,84,32,48,7,0,0,5
22,98,71,100,100,80,59,61,99,39,95,10,47,0,0,10,3
58,94,84,100,82,74,46,57,92,42,100,14,52,0,0,1,3
10,89,30,100,49,73,29,42,0,16,20,19,64,20,100,0,2
15,59,57,81,100,100,79,72,65,44,53,15,0,1,21,0,1
36,78,75,100,77,82,61,34,39,0,0,8,50,8,100,7,1
0,83,32,100,75,89,39,69,49,49,100,35,70,15,21,0,3
19,66,3,28,34,0,77,13,100,51,78,89,34,100,0,76,0
100,95,0,78,93,59,81,100,62,44,2,5,96,0,48,48,8
0,100,53,100,100,88,84,56,61,24,42,0,18,31,56,46,7
33,89,92,100,100,91,63,62,29,31,0,0,6,29,66,38,7
47,69,42,100,6,75,54,39,47,0,0,21,42,58,100,90,8
13,94,10,63,73,46,65,0,0,8,3,57,31,100,100,99,5
100,92,18,81,46,39,62,0,1,13,43,56,74,100,0,75,8
46,94,13,69,0,28,32,0,77,7,100,44,85,83,43,100,0
100,75,47,100,0,79,49,41,66,0,3,25,27,66,98,91,8
83,85,57,77,60,83,65,100,72,55,87,10,0,0,100,2,1
0,61,36,82,78,100,100,95,76,71,49,47,24,23,22,0,1
38,96,6,60,0,19,47,0,99,25,100,65,71,100,17,85,0
80,88,43,100,9,70,0,31,28,0,78,11,100,46,90,85,0
48,80,50,100,100,99,78,69,76,49,91,18,45,0,0,9,3
42,100,7,72,0,41,54,38,100,44,73,73,56,36,39,0,4
0,76,42,100,51,91,43,52,46,13,100,7,71,2,31,0,1
79,81,57,100,17,82,62,65,99,52,100,16,52,1,0,0,9
27,66,53,100,76,77,49,40,9,13,0,15,50,5,100,0,2
62,100,27,82,0,51,2,19,51,0,100,18,62,40,20,22,6
0,50,13,63,56,83,100,100,94,75,75,50,54,24,31,0,1
23,100,15,75,0,40,60,29,94,60,100,70,86,35,78,0,4
100,100,55,99,39,73,91,84,86,76,68,47,43,20,0,0,9
16,100,11,71,5,39,29,11,85,11,100,28,46,18,0,0,6
76,95,23,100,36,60,68,22,23,0,0,33,46,65,100,94,8
0,51,24,64,66,85,100,100,72,75,47,51,26,25,11,0,1
31,85,63,100,75,71,39,43,0,17,11,4,58,1,100,0,2
46,88,78,100,79,67,65,47,100,32,75,7,37,0,0,5,3
0,51,10,59,57,79,100,100,92,78,70,52,52,25,32,0,1
27,84,58,100,76,68,57,34,16,13,0,9,50,5,100,0,2
11,85,31,100,92,95,75,63,46,36,100,16,62,0,0,9,3
