@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
48,96,62,65,88,27,21,0,21,33,79,67,100,100,0,85,8
11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,4
36,92,7,83,0,37,26,0,77,6,100,46,84,89,36,100,0
46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,4
0,93,62,100,100,78,69,43,50,5,35,0,15,35,86,37,7
11,92,56,100,83,82,52,59,87,39,100,14,55,0,0,0,3
56,99,18,72,0,24,36,0,85,23,100,69,58,100,19,74,0
0,75,47,87,100,100,91,80,72,60,53,40,35,20,19,0,1
41,96,17,76,50,37,31,0,0,34,1,86,49,98,100,100,5
20,82,62,100,100,81,68,54,82,50,89,19,42,0,0,13,3
12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,2
0,84,50,100,72,79,37,52,51,41,100,27,62,3,3,0,3
0,100,61,100,100,93,63,64,36,33,14,0,9,29,47,42,7
16,90,9,61,50,35,23,0,5,35,0,81,48,97,100,100,5
39,100,23,82,0,52,1,21,48,0,100,16,70,42,6,55,6
45,100,10,67,7,16,56,0,100,31,91,79,38,95,0,61,0
49,83,8,57,0,17,51,0,93,28,100,70,61,100,8,86,0
52,91,72,100,87,70,57,43,100,45,90,15,43,0,0,12,3
0,42,30,56,59,72,86,94,100,100,80,68,62,35,53,0,1
40,79,61,100,78,72,46,41,0,16,1,5,61,1,100,0,2
0,100,67,100,86,72,56,37,34,0,6,33,32,45,100,46,7
54,93,0,88,54,46,70,0,5,9,54,52,100,96,7,100,8
14,100,1,54,51,47,36,0,0,14,6,71,42,93,100,97,5
0,65,43,76,93,96,100,100,71,75,48,50,26,25,5,0,1
0,67,16,80,64,100,85,99,85,74,89,49,95,24,100,0,1
88,99,45,82,78,75,90,100,100,68,93,36,59,9,0,0,9
30,100,16,84,0,51,28,26,80,33,100,65,79,34,68,0,4
31,95,5,61,0,23,32,0,77,18,100,51,82,85,37,100,0
79,74,21,67,15,92,71,100,100,75,73,45,36,18,0,0,9
0,97,43,100,58,62,41,17,26,0,8,36,54,34,100,33,7
67,100,36,82,0,60,5,37,66,38,100,50,73,25,56,0,4
53,100,23,77,0,57,74,66,100,79,70,85,44,42,16,0,4
27,100,0,74,40,54,100,59,84,91,57,64,43,32,33,0,4
0,75,29,79,71,91,100,100,82,74,68,48,57,21,58,0,1
51,100,0,90,5,57,92,61,100,70,85,82,68,40,86,0,4
38,92,15,72,42,44,25,0,0,8,8,61,40,93,100,100,5
27,92,22,53,58,28,18,0,0,32,13,85,50,98,100,100,5
0,82,25,100,52,73,44,34,32,0,0,29,50,34,100,39,7
46,96,80,100,81,76,77,60,100,36,75,12,36,0,0,6,3
33,93,8,58,0,20,35,0,78,21,100,55,94,93,48,100,0
86,100,0,95,32,56,100,22,30,0,5,36,80,68,52,99,8
0,89,41,94,87,100,100,98,80,75,68,50,59,25,60,0,7
56,83,28,61,90,23,24,0,22,40,100,72,72,100,0,72,8
92,100,61,85,31,57,10,29,21,0,100,7,69,27,0,13,6
