@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0,57,31,68,72,90,100,100,76,75,50,51,28,25,16,0,1
0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,4
35,76,57,100,100,92,68,66,81,38,82,9,32,0,0,17,3
10,86,34,66,68,34,34,0,4,26,0,69,34,95,100,100,5
54,100,34,75,6,43,0,11,70,0,100,28,44,46,36,21,6
30,87,16,55,68,41,52,0,0,16,15,63,41,100,100,98,5
97,100,41,90,4,58,0,22,52,0,100,22,49,38,8,13,6
37,91,84,100,100,96,52,87,32,57,74,38,41,1,0,0,5
32,100,12,76,0,48,1,21,39,0,100,9,64,21,18,3,6
22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,4
19,81,0,41,12,0,54,1,88,29,100,71,72,100,31,91,0
42,100,9,79,0,46,48,31,100,46,89,52,46,30,19,0,4
96,100,52,95,48,76,96,98,100,85,71,54,39,25,0,0,9
100,70,58,100,10,75,0,24,48,0,100,19,97,68,45,81,0
86,100,48,79,13,52,0,22,45,0,100,16,76,40,6,35,6
100,88,69,100,20,84,70,86,93,71,70,44,38,19,0,0,9
0,70,63,80,90,100,100,89,100,67,92,44,84,22,71,0,1
47,100,19,67,0,30,20,0,68,5,100,33,91,72,50,88,0
2,80,36,50,54,12,9,0,0,41,5,78,49,95,100,100,5
48,95,94,100,100,73,75,47,41,25,0,5,41,1,94,0,2
78,85,65,66,100,25,49,0,15,29,58,67,66,100,0,84,8
12,73,29,62,66,32,29,0,5,29,0,71,38,96,100,100,5
0,89,47,100,89,87,74,61,45,37,15,14,43,0,100,1,2
0,82,40,100,80,80,43,53,54,45,100,25,63,0,3,4,3
28,75,57,100,93,82,71,51,33,26,0,0,49,5,100,16,2
70,100,46,70,12,38,0,25,52,29,100,41,96,38,90,0,4
100,100,50,98,16,67,0,30,26,0,80,8,81,34,29,24,6
10,97,2,47,24,1,74,0,100,43,82,90,33,100,0,65,0
0,80,30,100,74,81,82,43,75,4,39,0,44,16,100,20,7
100,96,66,100,63,85,85,88,78,53,66,20,35,0,0,12,9
45,92,19,94,42,68,58,100,89,69,100,24,55,0,0,3,9
27,100,2,56,12,8,62,0,100,33,94,79,46,94,0,72,0
0,82,26,100,51,80,43,50,24,22,12,2,57,1,100,0,2
37,79,78,100,94,68,60,37,10,19,0,31,55,24,100,0,2
84,100,37,82,7,55,0,25,35,0,100,7,85,30,23,19,6
72,83,49,100,61,58,82,17,0,0,25,33,100,61,75,92,8
22,77,89,62,98,100,32,87,68,63,100,55,81,11,0,0,9
0,96,45,98,100,100,97,83,77,62,60,39,52,17,55,0,7
64,100,34,73,100,39,94,3,0,0,38,38,90,74,76,95,8
48,100,39,64,0,31,89,31,100,59,77,85,71,42,63,0,4
0,65,37,82,82,100,100,90,86,65,70,39,55,14,49,0,1
33,76,48,100,100,97,74,50,44,4,77,0,39,40,0,79,8
64,100,32,77,16,47,16,16,58,0,100,16,49,23,0,9,6
45,70,77,35,58,0,0,10,48,42,100,71,84,100,26,81,8
21,90,3,52,77,55,62,5,0,0,6,52,14,100,100,100,5
8,100,0,81,9,52,81,54,100,75,86,64,87,32,90,0,4
0,95,54,100,93,79,81,42,60,7,36,0,44,27,100,31,7
65,100,20,85,0,52,59,42,100,64,79,62,38,32,7,0,4
14,99,16,67,67,33,74,0,0,17,44,48,100,77,39,100,8
85,87,48,72,0,73,34,100,82,96,89,64,87,31,100,0,9
57,94,39,100,11,69,0,35,23,4,97,0,100,24,41,5,6
14,70,46,100,48,78,41,36,21,0,0,3,50,1,100,1,1
14,88,49,100,65,77,34,53,0,31,1,7,50,0,100,0,2
38,83,40,53,55,14,11,0,0,30,10,71,52,92,100,100,5
0,62,34,82,84,100,100,88,89,66,79,44,76,22,84,0,1
28,95,100,100,51,97,0,74,16,54,86,42,71,13,1,0,5
0,34,25,52,62,76,100,100,81,79,57,53,37,27,25,0,1
30,100,90,99,81,100,32,78,52,57,100,31,58,0,0,17,5
25,91,61,100,74,75,44,55,94,43,100,16,53,0,0,6,3
73,96,50,70,38,24,0,0,29,41,70,77,100,100,46,78,8
0,76,53,85,100,100,76,81,60,61,44,40,27,20,5,0,1
0,35,39,53,72,75,100,100,83,80,61,54,41,27,24,0,1
0,66,44,83,92,100,100,85,81,64,61,42,40,21,22,0,1
10,100,4,67,11,70,2,80,19,33,0,0,21,8,100,12,1
51,69,74,37,100,0,52,4,41,41,73,75,60,100,0,83,8
0,55,41,82,72,100,66,65,63,29,31,0,33,4,100,5,1
82,90,39,100,25,64,75,80,100,83,91,43,58,9,0,0,9
81,100,50,79,23,52,17,22,70,15,100,31,44,19,0,0,6
0,66,54,79,78,100,100,86,98,63,92,42,80,20,90,0,1
2,85,0,58,45,34,24,0,7,28,1,69,44,93,100,100,5
45,69,58,100,94,83,75,47,39,18,0,0,50,9,100,2,2
56,76,75,100,91,67,68,33,28,10,0,17,51,14,100,0,2
6,80,45,100,59,70,37,39,3,13,0,9,52,5,100,0,2
0,74,36,100,64,74,54,37,37,0,23,12,38,39,100,43,7
32,75,6,48,0,16,34,0,79,11,100,39,99,70,82,100,0
4,77,29,100,80,98,68,69,93,46,100,13,52,0,0,4,3
0,81,41,79,79,96,100,100,95,74,87,49,78,23,78,0,1
55,83,100,100,88,92,40,78,24,43,68,31,48,5,0,0,5
7,86,44,100,54,70,30,39,0,13,14,4,57,2,100,0,2
100,100,70,93,37,68,11,41,0,11,38,0,48,25,2,35,6
16,100,9,84,0,59,30,40,86,49,100,47,75,24,63,0,4
19,100,0,52,75,73,100,28,27,0,3,46,1,94,92,99,5
0,90,59,100,100,79,72,40,55,0,40,1,9,30,84,31,7
0,59,46,70,86,91,100,100,95,75,92,50,89,25,95,0,1
0,65,49,81,91,100,100,90,78,67,56,45,36,22,16,0,1
86,86,37,100,0,74,53,62,100,86,83,66,61,32,41,0,9
7,96,18,69,68,41,46,0,11,25,0,71,29,96,100,100,5
14,86,46,100,50,63,34,28,0,5,18,8,62,1,100,0,2
49,93,0,55,28,74,63,100,62,50,59,3,24,1,100,0,1
44,68,58,44,100,7,0,0,7,36,78,68,93,100,11,74,8
0,82,38,100,74,76,49,36,15,0,6,11,35,38,100,43,7
100,100,61,88,30,64,7,36,0,5,42,0,49,23,6,25,6
0,86,55,100,73,70,50,35,29,0,3,32,38,45,100,41,7
43,100,30,87,0,57,51,61,100,75,80,62,50,31,23,0,4
28,95,39,84,67,100,42,90,81,62,100,27,56,3,0,0,9
41,100,0,65,41,43,61,12,6,0,24,47,42,93,100,98,5
5,77,0,64,21,5,71,0,100,49,67,100,19,93,13,28,0
2,44,0,58,43,79,86,100,100,93,77,63,56,32,50,0,1
0,80,8,100,37,81,32,49,11,22,23,6,62,5,100,0,2
0,99,65,100,100,97,57,62,36,16,19,0,2,36,69,40,7
88,99,9,100,0,54,55,12,4,0,24,40,100,73,63,94,8
0,88,52,100,68,67,50,33,23,0,9,27,30,51,100,58,7
30,83,60,100,100,86,67,60,94,43,75,14,27,0,0,16,3
0,63,24,100,52,79,37,37,5,3,6,0,53,2,100,1,2
0,97,62,100,99,84,77,50,62,15,52,0,26,33,100,38,7
0,79,35,100,87,99,100,71,63,46,23,24,46,4,98,0,2
84,92,41,91,37,46,66,0,0,9,46,49,100,85,33,100,8
26,92,0,49,10,4,61,0,100,31,95,76,50,100,4,83,0
11,85,0,46,12,5,53,0,88,25,100,68,73,100,34,92,0
56,100,100,98,27,97,24,66,78,48,95,11,32,0,0,26,5
56,97,41,63,69,26,29,0,6,28,0,72,45,94,100,100,5
0,56,34,77,69,100,100,95,84,72,62,47,41,24,25,0,1
0,76,34,100,70,87,48,49,16,18,11,0,55,5,100,10,2
10,80,12,37,38,0,90,4,100,44,72,82,24,100,0,62,0
100,98,49,100,13,69,6,30,40,0,93,13,61,41,0,41,6
21,100,0,70,7,42,91,49,100,64,70,67,72,34,70,0,4
0,39,42,52,76,74,100,100,92,87,82,58,71,29,68,0,1
0,43,35,61,70,79,100,100,86,76,70,51,55,26,49,0,1
43,100,9,64,0,19,44,0,90,22,100,66,66,99,15,88,0
100,77,61,100,21,79,71,70,81,73,78,33,53,0,0,2,9
12,78,7,36,33,2,83,0,100,38,85,78,43,100,0,80,0
0,77,30,100,74,96,56,63,75,43,100,14,59,0,13,5,3
26,64,39,100,44,92,43,52,39,12,0,0,47,2,100,8,1
0,94,69,100,97,69,72,34,49,0,90,32,100,50,19,49,7
27,100,21,83,0,47,36,42,100,49,96,75,86,37,84,0,4
0,0,32,10,66,31,92,56,97,88,61,100,57,76,100,65,9
28,73,81,60,73,100,39,72,91,85,100,42,88,0,0,1,9
3,81,57,100,100,92,63,49,23,7,0,0,30,32,93,34,7
58,100,21,71,1,35,15,0,66,2,100,28,50,32,0,19,6
93,95,47,100,54,66,100,80,95,64,93,20,50,0,0,9,9
