@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
100,100,88,99,49,74,17,47,0,16,37,0,73,16,20,20,6
91,74,54,100,0,87,23,59,81,67,100,39,79,4,21,0,9
0,85,38,100,81,88,87,50,84,12,58,0,53,22,100,24,7
12,77,20,62,78,40,50,0,1,17,0,64,23,98,100,100,5
0,98,36,100,80,85,68,42,56,0,25,23,50,37,100,32,7
27,76,1,42,16,0,70,3,100,40,92,84,44,100,0,73,0
30,86,67,100,77,77,53,50,78,40,100,17,56,0,0,5,3
90,71,100,100,25,85,10,50,80,62,99,53,64,17,0,0,9
33,58,19,90,78,100,91,62,51,28,0,2,37,1,100,0,2
27,100,0,58,12,5,62,0,100,39,97,91,48,97,18,53,0
73,98,35,100,0,59,0,13,71,8,100,45,29,41,9,0,6
15,73,0,34,30,0,81,1,100,38,87,78,44,100,16,68,0
7,100,0,56,51,37,39,0,9,15,5,62,42,92,100,96,5
44,66,67,100,80,62,47,25,5,0,0,3,50,4,100,7,2
100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,8
29,73,56,100,68,71,45,38,11,12,0,8,50,6,100,0,2
53,87,32,47,98,64,69,100,58,69,100,61,71,3,0,0,9
84,100,59,99,16,72,0,42,20,12,100,0,94,22,4,27,6
30,98,16,60,53,28,46,0,13,29,0,68,27,95,100,100,5
0,52,52,83,97,100,91,55,84,10,21,0,21,7,100,7,1
21,75,40,100,85,94,67,63,100,43,95,11,47,0,0,13,3
0,70,53,88,64,100,62,78,70,57,83,36,100,14,98,0,1
83,86,44,100,0,74,58,67,100,94,89,63,77,31,75,0,9
100,96,71,100,42,79,49,56,91,51,82,16,42,0,0,1,5
0,96,45,100,100,99,79,83,60,63,45,42,36,21,33,0,7
0,74,28,100,69,99,79,63,59,28,28,0,57,0,100,2,2
100,100,14,90,74,55,79,97,37,62,0,39,36,0,39,44,8
85,100,56,72,42,39,55,7,100,0,95,30,46,37,0,23,6
100,100,62,83,36,57,23,26,42,0,81,10,43,23,0,18,6
0,84,34,100,67,85,60,44,31,19,26,20,64,13,100,0,2
0,94,46,100,100,97,82,62,48,30,17,0,18,34,74,38,7
42,100,34,73,0,42,2,42,62,36,100,59,92,35,87,0,4
0,84,40,100,76,71,65,33,32,0,5,28,42,44,100,46,7
38,76,58,100,21,65,0,27,44,0,100,22,45,36,22,8,6
5,85,50,100,79,77,54,50,85,44,100,22,56,2,0,0,3
93,100,5,96,42,65,85,32,58,0,0,14,36,47,100,74,8
0,76,24,100,65,97,61,63,40,31,6,5,51,2,100,0,2
38,96,49,68,74,100,24,87,91,80,100,30,54,0,0,32,9
100,99,56,100,31,65,87,73,98,90,94,48,61,13,0,0,9
0,56,5,14,47,0,86,25,100,66,76,100,34,80,6,45,0
80,100,32,81,7,52,0,21,40,0,100,9,88,30,28,22,6
97,66,77,100,8,96,0,67,69,72,100,73,92,36,86,0,9
7,86,0,62,15,20,62,0,100,31,96,73,53,100,8,78,0
12,86,62,100,92,86,54,64,81,46,100,22,62,0,0,5,3
89,100,38,83,0,44,2,0,61,2,100,40,100,88,45,98,0
12,76,47,100,100,98,97,72,52,54,74,30,52,5,0,0,3
31,93,12,78,71,36,31,0,21,33,100,65,69,100,0,78,8
12,82,41,100,84,84,54,51,88,43,100,10,50,0,0,6,3
31,88,6,58,14,13,64,0,100,33,96,77,49,100,0,81,0
0,94,44,100,84,82,100,47,93,10,90,0,88,23,41,26,7
0,100,17,94,8,64,24,37,70,41,100,57,87,28,100,0,4
0,64,47,81,100,100,91,84,65,62,47,40,42,17,63,0,1
29,75,29,85,100,100,85,81,59,61,38,41,15,20,0,0,1
