@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,4
57,100,22,72,0,31,25,0,75,13,100,50,75,87,26,85,0
24,66,43,100,59,65,34,28,0,1,16,11,58,0,100,1,2
0,73,19,99,72,100,70,73,32,48,5,18,46,0,100,0,2
0,46,49,64,78,87,100,100,91,75,85,49,75,24,89,0,1
0,0,31,15,63,30,88,52,100,79,82,100,56,82,79,64,9
9,93,53,100,89,80,57,52,17,30,0,5,50,2,100,0,2
17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,4
100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,8
0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,8
80,100,36,100,58,80,65,82,82,47,100,14,53,0,0,7,9
8,77,47,100,100,96,71,66,100,46,99,13,46,0,0,13,3
31,73,55,100,55,53,33,14,0,0,30,11,65,1,100,1,2
47,93,1,67,0,16,53,0,100,32,95,81,42,100,7,62,0
38,51,8,66,0,19,42,0,87,26,100,71,61,100,16,84,0
100,100,63,78,28,53,0,27,4,0,60,1,78,22,24,21,6
100,100,53,81,25,54,11,25,38,0,99,8,65,29,0,25,6
73,85,31,65,0,0,52,9,100,57,82,100,81,78,38,25,0
24,100,14,55,72,52,54,0,8,2,0,58,35,95,100,99,5
34,64,52,100,58,57,37,16,0,0,24,20,61,1,100,5,2
52,80,84,100,100,75,58,53,91,48,89,10,44,0,0,16,3
100,100,71,95,30,64,1,27,32,0,82,19,54,51,0,48,6
76,85,0,100,16,63,81,31,69,0,6,25,34,64,100,95,8
65,100,25,93,0,56,11,16,60,0,100,20,50,28,9,1,6
23,76,52,100,100,98,79,71,63,50,82,19,49,0,0,7,3
9,32,60,62,80,100,6,93,36,56,100,27,57,0,0,25,8
