@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
32,59,53,100,100,95,79,46,48,0,93,19,58,55,0,63,8
5,90,46,98,89,100,100,81,77,59,62,34,37,14,0,0,3
95,92,50,100,21,77,74,87,100,86,69,56,37,26,0,0,9
3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,7
0,60,38,80,80,100,100,92,80,69,65,46,55,23,55,0,1
42,83,60,53,89,11,13,0,0,33,77,57,100,92,18,100,8
13,68,15,30,42,0,86,19,100,56,84,90,33,100,0,73,0
16,100,0,78,5,54,41,32,93,39,100,48,91,24,89,0,4
28,82,0,39,30,0,80,5,100,54,70,99,22,100,7,50,0
0,42,34,57,64,79,95,100,100,85,81,57,62,28,45,0,1
65,100,24,84,0,48,9,10,61,0,100,24,58,47,2,46,6
2,85,31,100,76,74,62,37,47,0,100,8,68,30,0,41,7
45,85,93,100,100,98,48,88,7,62,48,48,48,18,0,0,5
46,83,87,100,100,79,75,54,90,36,100,13,49,0,0,12,3
39,62,78,88,79,100,57,64,38,30,0,0,34,4,100,0,1
0,78,18,96,59,95,100,100,86,82,66,56,52,29,47,0,7
0,91,46,100,85,80,91,40,88,0,99,22,100,52,50,49,7
21,92,85,100,90,67,67,34,49,0,0,26,27,43,100,42,7
16,59,0,31,31,0,78,15,100,55,87,98,40,100,6,67,0
36,90,86,100,87,73,47,49,92,44,100,16,53,0,0,1,3
100,100,92,85,75,71,58,57,58,42,33,28,8,14,0,0,1
84,93,20,100,22,50,44,0,0,22,54,59,100,95,27,97,8
95,68,77,100,21,76,60,38,68,0,0,15,29,53,100,81,8
92,73,32,63,0,86,51,100,100,82,96,51,64,23,21,0,9
9,61,25,100,59,72,42,27,0,5,5,24,53,16,100,0,2
77,100,53,90,0,43,13,0,86,34,100,84,73,51,10,9,0
0,0,38,13,71,34,94,61,100,90,63,100,44,76,73,53,9
73,100,43,70,0,42,25,41,100,45,90,64,63,32,54,0,4
76,82,34,77,0,84,55,100,100,85,77,52,38,25,3,0,9
45,100,1,67,0,24,69,24,100,48,73,98,80,53,90,0,4
28,71,43,100,76,79,49,47,11,21,0,0,50,1,100,4,2
0,32,29,55,63,78,100,100,90,75,88,50,84,25,80,0,1
55,76,22,68,66,29,39,0,52,32,100,68,69,100,0,86,8
37,100,57,91,47,50,22,20,0,17,33,17,66,4,100,0,2
22,83,62,100,92,78,51,53,55,37,100,17,55,0,0,7,3
0,100,65,99,70,66,51,33,32,0,15,12,29,39,100,44,7
44,60,0,77,47,99,100,100,84,75,75,50,75,24,100,0,1
19,88,62,100,100,81,83,48,47,23,0,6,18,0,72,1,2
11,50,0,16,38,0,79,8,100,46,76,84,37,100,0,84,0
13,71,40,100,65,69,41,34,0,12,2,8,51,6,100,0,2
100,100,51,85,18,58,0,28,17,0,78,1,68,20,8,12,6
39,100,0,82,22,55,100,63,62,99,62,81,59,40,60,0,4
0,36,35,56,68,78,100,100,94,76,80,51,70,25,70,0,1
100,100,62,86,30,66,7,41,0,12,36,0,59,18,17,25,6
22,75,47,100,74,82,47,53,84,44,100,17,54,0,0,9,3
100,81,83,96,26,100,0,88,16,54,69,40,87,6,34,0,5
42,79,67,100,78,79,71,60,100,39,85,10,41,0,0,14,3
44,97,9,62,0,13,41,0,82,26,100,72,63,100,17,92,0
72,100,36,98,39,81,82,99,100,84,70,48,37,16,0,0,9
0,87,32,100,75,90,64,45,49,0,82,10,100,33,54,37,7
41,96,99,100,100,74,58,38,28,0,7,16,0,45,80,34,7
0,89,54,100,100,80,82,37,48,0,11,5,19,32,76,38,7
14,86,0,58,58,63,77,21,27,0,14,55,36,93,100,100,5
0,86,37,100,95,92,87,67,55,44,18,23,32,2,100,0,2
68,100,23,77,0,41,7,3,64,0,100,31,56,39,14,11,6
33,95,4,69,0,27,39,0,88,16,100,56,69,89,17,100,0
44,73,66,100,100,88,74,57,33,32,0,21,53,19,99,0,2
10,86,51,100,84,78,53,48,85,40,100,14,52,0,0,0,3
42,100,22,76,0,52,26,34,82,41,100,47,74,24,57,0,4
19,100,55,99,58,67,30,39,0,15,21,0,60,1,100,0,2
44,93,9,64,82,45,63,8,0,0,13,44,28,88,100,100,5
100,86,63,100,20,78,22,43,76,47,90,13,36,0,0,24,5
100,95,38,99,35,65,70,29,32,0,0,27,36,64,65,100,8
0,61,24,71,62,90,100,100,86,74,68,49,51,23,41,0,1
0,86,26,100,70,84,77,45,68,5,54,0,50,25,100,23,7
82,97,35,100,0,67,0,25,45,2,100,10,61,23,14,0,6
59,85,84,100,82,79,60,56,100,48,74,28,37,14,0,0,3
100,100,49,80,15,54,0,25,26,0,86,7,62,24,0,19,6
0,81,11,100,55,97,100,96,86,76,66,51,48,26,38,0,7
100,84,27,100,0,85,0,68,13,51,20,34,27,17,60,0,1
64,100,21,74,0,38,17,3,72,0,100,31,59,51,6,39,6
17,82,3,39,30,0,81,8,100,49,74,90,24,100,0,61,0
100,77,57,100,0,81,20,50,79,66,86,68,81,31,84,0,9
0,70,1,29,37,0,88,5,100,43,78,79,34,100,5,70,0
0,0,42,10,79,33,100,64,89,96,40,100,22,73,67,64,9
30,82,52,100,100,85,81,53,38,28,0,26,56,17,97,0,2
0,42,10,60,68,83,100,100,77,75,61,50,48,25,35,0,1
66,100,25,80,4,53,0,25,26,0,94,0,100,22,45,8,6
0,81,15,100,20,76,19,52,24,28,71,21,88,23,100,0,4
61,77,78,100,94,76,77,43,47,15,0,1,47,0,100,4,2
0,87,32,100,67,84,48,50,16,23,16,2,58,3,100,0,2
27,73,42,100,62,66,41,30,0,13,38,10,82,0,100,34,2
0,52,56,73,100,100,91,85,88,51,89,16,42,0,93,6,1
0,23,63,46,100,87,50,100,34,57,86,23,57,0,9,22,8
50,100,63,87,26,62,0,36,59,31,100,54,80,27,76,0,4
0,97,41,100,68,77,64,38,51,0,28,34,56,40,100,37,7
55,76,70,100,95,78,72,50,40,25,0,3,40,0,100,2,2
9,98,16,100,0,55,65,40,100,58,80,89,52,46,33,0,4
25,100,0,69,1,20,43,0,87,16,100,61,72,100,29,96,0
0,78,40,100,80,86,70,42,40,7,14,0,56,18,100,3,2
0,94,50,100,94,100,73,58,60,14,43,0,50,27,100,19,7
71,92,48,62,100,82,59,100,87,75,87,47,55,0,0,5,9
0,100,28,65,100,79,38,96,58,55,96,44,72,0,11,23,9
0,77,33,100,55,71,45,35,14,8,9,19,56,17,100,0,2
0,82,43,100,100,94,90,65,55,41,13,18,28,1,92,0,2
14,66,23,100,41,74,24,34,0,0,22,15,61,9,100,3,2
66,90,6,55,100,73,45,100,33,46,0,0,89,11,13,23,8
96,85,31,100,44,64,96,27,37,0,0,31,72,62,100,91,8
0,94,61,100,100,77,83,44,58,13,44,0,25,29,97,36,7
40,78,62,100,58,67,35,39,0,32,27,22,62,7,100,0,2
32,52,22,0,100,2,78,63,35,37,14,100,71,92,0,73,8
54,96,60,67,87,34,48,0,14,26,0,72,40,100,100,99,5
22,72,34,100,62,73,38,35,0,8,5,0,53,3,100,8,2
33,100,13,89,0,61,49,58,100,76,63,55,37,28,20,0,4
11,84,0,34,35,0,84,19,100,67,65,100,21,70,11,24,0
31,91,0,85,8,45,85,44,100,82,66,100,68,50,76,0,4
100,100,49,91,13,62,0,28,33,0,90,15,75,45,8,49,6
27,89,0,64,62,46,54,0,3,1,6,52,31,93,100,100,5
100,100,60,89,26,65,3,36,0,4,43,0,51,26,12,31,6
56,80,5,100,10,65,87,33,71,0,0,22,58,59,100,97,8
4,92,45,100,100,91,59,52,32,5,15,0,0,38,65,38,7
30,84,70,100,78,69,63,38,34,10,0,12,46,14,100,0,2
38,78,52,100,97,79,58,52,78,41,100,11,38,0,0,20,3
0,73,46,84,87,100,100,92,86,69,76,46,69,22,67,0,1
29,94,2,59,0,17,47,0,90,25,100,66,71,100,19,98,0
19,83,12,55,57,31,28,0,7,35,0,73,41,97,100,100,5
100,100,47,79,14,53,0,26,24,0,93,2,95,25,14,25,6
100,67,66,100,0,89,10,55,70,70,87,50,74,9,12,0,9
26,91,0,80,2,34,33,0,80,8,100,50,82,92,38,100,0
51,92,12,63,0,8,54,0,100,37,86,86,28,100,20,56,0
100,81,52,62,17,77,57,100,79,68,75,31,52,0,0,12,9
100,100,70,86,30,60,0,29,11,0,70,9,76,32,16,35,6
21,89,34,58,62,22,31,0,8,40,0,79,48,96,100,100,5
57,87,100,69,97,100,23,83,74,59,96,52,78,10,0,0,9
60,100,40,81,0,54,2,43,60,34,100,57,82,36,71,0,4
27,70,37,100,72,87,63,48,35,16,0,10,50,10,100,0,2
0,54,38,77,82,100,76,88,65,63,70,38,70,13,100,0,1
0,100,14,96,75,97,100,89,61,71,40,48,36,23,47,0,7
0,44,24,55,62,78,100,100,100,80,95,52,91,24,81,0,1
0,53,45,75,79,100,93,99,93,73,97,46,100,19,93,0,1
51,100,86,94,69,61,37,34,0,12,9,0,54,2,100,0,2
17,78,30,100,55,80,31,50,0,23,4,0,52,1,100,5,2
11,31,0,51,59,76,100,100,67,77,44,51,33,26,48,0,1
64,100,20,79,0,49,2,18,49,0,100,15,59,25,17,3,6
100,100,40,83,2,51,0,16,67,9,89,38,18,32,11,0,6
4,86,54,100,85,72,80,32,76,0,100,37,48,40,0,38,7
44,83,18,61,60,35,35,0,0,15,26,56,51,90,100,100,5
0,85,43,100,68,87,50,61,92,44,100,14,55,0,8,8,3
1,90,0,54,20,16,68,0,100,31,99,71,61,100,26,75,0
8,98,25,100,29,64,21,29,0,2,33,2,67,3,100,0,2
78,100,36,78,6,40,13,0,71,1,100,35,43,28,0,3,6
21,100,25,88,0,54,20,43,85,42,100,72,91,36,82,0,4
29,100,0,66,11,24,52,0,98,14,100,55,61,83,11,85,0
100,100,64,78,36,50,22,17,55,0,90,17,45,24,0,17,6
100,75,60,100,0,85,14,53,75,68,88,78,73,39,71,0,9
86,100,41,79,10,50,0,18,45,0,100,11,78,36,22,29,6
88,99,18,100,0,69,75,81,100,95,86,62,73,30,76,0,9
0,50,26,64,61,83,99,100,100,83,74,56,51,28,33,0,1
64,83,86,100,100,76,68,53,94,36,78,11,40,3,0,0,3
0,89,44,100,91,89,77,53,63,17,83,0,100,15,50,20,7
88,100,30,79,5,54,0,28,25,3,100,0,92,25,15,26,6
0,85,48,100,100,82,87,39,56,0,30,1,25,28,88,33,7
31,85,51,100,78,80,64,63,100,41,84,11,41,0,0,10,3
0,83,35,100,86,88,42,63,52,47,100,27,60,4,2,0,3
0,0,40,9,74,26,95,52,100,80,73,100,46,81,74,63,9
100,100,48,85,15,57,0,25,29,0,84,11,65,30,38,9,6
42,73,53,100,94,83,79,49,43,21,0,0,47,10,100,14,2
52,92,91,100,100,74,77,48,41,27,0,9,35,1,89,0,2
19,91,18,50,88,50,88,5,24,0,0,51,29,91,100,100,5
100,100,56,87,24,59,5,27,29,0,79,9,38,24,0,2,6
0,51,31,60,66,79,100,100,90,79,66,53,43,28,27,0,1
41,100,25,97,0,54,61,46,100,47,83,87,55,45,36,0,4
100,94,29,84,32,41,59,0,0,1,42,38,87,74,52,100,8
12,14,56,48,100,84,53,100,32,65,80,30,62,0,0,17,8
19,74,47,100,81,83,57,51,18,26,0,9,54,6,100,0,2
29,70,56,36,43,2,3,0,0,42,13,76,56,90,100,100,5
0,90,41,100,83,88,65,65,69,43,100,22,66,5,14,0,3
65,84,40,100,7,68,0,31,34,0,100,8,64,24,11,3,6
28,77,62,100,100,85,67,58,96,40,92,9,41,0,0,18,3
0,95,48,100,89,80,78,38,51,0,27,21,51,39,100,31,7
60,100,36,75,14,50,0,23,47,14,89,30,100,26,86,0,4
42,85,85,100,100,68,76,32,45,0,50,1,38,40,0,65,8
100,100,47,88,18,55,16,18,57,0,95,29,51,38,0,16,6
62,90,15,77,10,26,56,0,100,31,93,81,42,100,0,70,0
0,97,10,100,55,93,100,89,72,67,46,45,37,18,41,0,7
0,71,24,100,64,99,69,63,53,29,28,0,57,5,100,10,2
0,93,53,100,89,75,85,37,73,0,48,1,44,29,100,25,7
100,80,54,77,25,96,78,100,99,74,76,45,42,20,0,0,9
8,92,67,100,87,82,62,40,31,0,0,14,38,30,100,27,7
52,95,100,100,70,91,26,77,26,55,64,43,43,14,0,0,5
20,100,34,63,57,25,23,0,6,39,0,81,48,95,100,95,5
60,100,33,83,0,49,8,11,68,0,100,30,48,38,32,5,6
12,69,26,99,79,100,70,73,79,49,100,15,53,0,0,12,3
47,100,17,68,0,34,9,0,71,18,97,51,100,86,48,95,0
22,71,41,100,51,93,46,54,40,15,0,1,46,2,100,0,1
0,53,36,77,82,99,100,100,73,75,39,50,9,25,3,0,1
53,93,96,100,99,76,65,55,79,36,100,14,54,0,0,0,3
36,87,24,100,77,100,64,70,74,52,100,26,62,2,0,0,3
100,100,63,90,26,63,2,33,0,0,54,1,60,31,7,30,6
0,95,46,100,14,63,30,49,100,63,94,67,80,29,72,0,4
100,100,62,89,23,61,0,29,20,0,91,7,84,33,11,31,6
49,100,54,67,95,32,47,0,4,11,0,58,31,94,100,94,5
0,91,61,100,78,69,58,34,56,0,38,28,34,48,100,45,7
5,55,79,87,5,100,38,53,67,6,0,0,27,47,100,84,8
0,34,43,67,74,100,68,54,59,9,5,1,32,0,100,3,1
77,94,35,100,53,74,74,90,99,52,100,10,51,0,0,6,9
100,100,46,91,14,64,0,32,8,0,62,0,55,27,6,27,6
20,100,0,75,4,42,72,43,100,63,87,69,85,34,89,0,4
63,48,100,73,77,100,13,92,0,65,64,57,86,31,77,0,9
0,51,33,75,68,100,51,85,53,59,58,33,65,7,100,0,1
35,97,35,61,44,19,0,0,23,38,61,68,100,99,51,100,8
100,100,38,87,25,72,19,58,12,43,6,28,0,14,6,0,1
35,86,56,65,100,27,23,0,6,28,65,64,98,100,0,85,8
35,87,86,100,100,76,52,57,89,53,97,21,53,0,0,8,3
16,100,0,65,43,57,100,70,99,87,97,76,84,38,73,0,4
24,88,0,46,54,45,20,0,24,55,38,95,51,94,100,100,5
22,100,52,98,58,62,32,33,0,13,27,9,63,5,100,0,2
25,46,100,31,80,0,0,9,38,45,89,78,54,100,20,68,8
0,91,41,100,67,76,53,61,99,48,100,15,54,0,6,7,3
41,84,93,52,100,12,33,0,47,39,93,74,72,100,0,81,8
95,96,56,84,0,47,57,39,100,55,93,100,86,48,81,0,4
18,86,0,62,22,9,71,0,100,49,78,100,29,94,17,41,0
0,62,50,81,100,100,96,87,71,64,46,43,25,21,32,0,1
0,79,31,100,64,88,49,58,24,30,10,1,56,0,100,10,2
59,100,12,74,0,34,29,0,81,21,100,59,91,98,35,83,0
100,93,78,95,29,100,0,82,33,70,73,45,61,0,18,1,5
0,87,37,100,59,64,45,15,27,0,20,38,60,44,100,51,7
32,100,32,79,0,48,25,28,96,34,100,64,77,34,77,0,4
67,86,59,66,95,26,44,0,0,30,59,63,100,98,19,100,8
41,100,6,89,0,57,12,25,54,4,100,24,55,25,17,0,6
11,83,0,38,21,0,71,1,100,37,87,80,41,100,5,71,0
100,100,54,88,22,64,0,35,6,7,57,0,65,21,14,21,6
32,71,54,100,82,77,62,43,24,17,0,8,50,6,100,0,2
5,56,5,16,56,0,100,29,97,68,59,100,8,93,0,55,0
35,96,87,100,74,99,28,77,60,56,100,35,53,9,0,0,5
34,98,58,68,75,100,10,96,67,67,100,36,50,0,0,22,9
0,66,47,100,81,98,79,50,85,0,27,0,23,8,100,0,1
54,85,94,100,96,61,79,22,84,0,100,32,53,52,0,58,8
72,100,100,91,72,76,56,60,39,45,22,30,0,15,0,0,1
0,87,35,100,71,87,61,53,33,28,21,3,60,0,100,0,2
20,85,27,50,94,51,87,3,27,0,0,53,32,89,100,100,5
19,100,36,96,34,58,13,28,0,12,34,5,67,0,100,4,2
33,90,66,100,66,71,63,64,100,44,78,14,27,0,0,24,3
46,85,36,68,84,79,42,100,79,65,100,23,53,0,0,8,9
