@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0,39,2,62,11,5,63,0,100,43,89,99,36,100,0,57,0
0,83,29,100,88,95,64,69,73,43,100,13,50,1,10,0,3
38,94,90,100,94,79,59,57,68,33,100,12,54,0,0,1,3
37,100,48,57,74,97,27,97,80,68,100,26,49,0,0,22,9
0,63,41,77,79,94,100,100,85,74,75,48,71,22,82,0,1
19,86,35,72,95,94,0,100,60,78,100,52,67,26,26,0,9
30,100,4,67,0,24,30,0,66,11,95,41,100,82,64,93,0
100,100,64,98,26,85,36,63,76,58,75,24,42,1,0,0,5
100,100,52,80,20,52,6,20,45,0,99,12,59,30,0,25,6
0,96,40,100,60,66,58,27,41,0,20,35,54,42,100,46,7
0,48,30,67,65,85,100,100,84,75,65,51,47,25,34,0,1
100,100,68,78,37,55,13,29,11,0,51,2,41,20,0,20,6
13,100,8,93,0,66,8,41,57,40,100,50,82,25,69,0,4
36,69,33,100,64,85,43,48,0,21,6,19,57,0,100,20,2
100,100,63,94,20,73,13,44,70,47,89,19,46,0,0,7,5
54,85,100,100,99,98,49,86,23,60,63,34,50,1,0,0,5
13,78,45,100,97,87,69,58,76,47,100,15,49,0,0,19,3
10,100,24,93,0,61,0,37,69,35,100,57,80,34,70,0,4
0,88,41,100,73,80,64,40,49,0,40,13,49,42,100,46,7
100,100,44,91,7,60,0,24,46,0,99,24,41,30,19,0,6
100,100,75,83,43,57,20,28,31,0,77,6,48,24,0,24,6
0,58,4,67,42,83,79,100,100,98,81,66,65,34,66,0,1
17,82,56,100,100,90,64,66,85,40,94,12,48,3,0,0,3
73,98,0,95,16,60,84,29,70,0,45,35,100,69,88,100,8
9,86,1,51,27,11,76,0,100,39,84,83,37,100,0,69,0
89,100,56,85,0,62,44,50,100,54,82,77,52,38,20,0,4
63,77,30,100,0,59,12,13,67,0,100,37,88,83,34,88,0
0,83,11,100,56,93,53,67,66,42,100,20,73,1,16,0,3
100,97,50,100,12,88,6,48,37,47,78,25,50,0,0,2,5
0,79,31,94,68,100,100,88,94,62,74,39,51,18,64,0,2
26,89,64,100,81,82,73,61,100,37,81,11,41,0,0,5,3
86,71,72,100,32,75,55,35,42,0,0,17,48,45,100,70,8
100,69,78,100,37,85,83,77,91,52,97,15,51,0,0,0,9
35,44,41,2,81,14,100,60,81,100,40,85,9,49,0,0,0
27,100,0,64,4,8,63,0,100,46,73,96,12,79,0,25,0
22,77,34,100,90,99,65,67,72,56,100,28,58,2,0,0,3
0,90,46,100,100,98,87,76,56,56,74,34,56,12,8,0,3
99,68,58,100,0,78,47,42,100,9,39,0,47,41,100,73,8
13,95,17,66,83,35,77,0,0,14,42,49,100,81,34,100,8
26,74,54,100,70,70,49,37,18,7,0,7,49,15,100,0,2
100,97,40,100,0,65,35,27,39,0,40,38,87,73,87,100,8
55,89,32,100,5,65,0,28,43,0,100,19,51,31,16,0,6
19,100,3,83,0,60,8,37,92,33,81,44,70,21,100,0,4
0,98,20,100,19,70,11,40,43,27,89,42,94,29,100,0,4
9,61,16,100,58,96,41,53,7,18,0,8,49,2,100,0,2
84,52,98,96,64,100,73,62,100,55,83,9,42,0,0,4,9
43,75,61,100,94,86,75,47,43,14,0,2,49,0,100,1,2
100,100,35,91,0,57,1,18,67,10,96,39,27,33,16,0,6
100,100,51,95,16,64,0,28,36,0,98,12,68,35,6,24,6
62,99,19,100,55,82,71,98,99,58,100,14,49,0,0,20,9
26,76,23,100,52,68,43,30,0,12,49,5,97,0,100,32,2
100,100,61,87,70,65,93,92,89,64,74,28,41,6,0,0,9
55,40,100,64,92,100,48,81,45,40,55,0,0,4,11,38,8
20,82,35,100,73,87,42,60,72,49,100,26,57,4,0,0,3
100,94,63,100,30,71,8,39,6,6,57,0,54,19,0,10,6
60,98,34,56,99,66,74,100,58,65,100,58,66,0,0,8,9
6,43,16,2,68,0,100,35,81,75,38,100,7,63,0,22,0
25,97,37,70,100,88,27,100,0,80,76,65,75,31,29,0,9
45,74,23,68,92,35,77,0,45,28,100,64,95,100,0,80,8
25,79,35,100,78,78,50,50,68,48,100,21,59,0,0,11,3
5,85,47,100,95,93,55,70,78,50,100,29,49,14,0,0,3
9,100,10,91,0,61,0,31,55,24,90,45,88,29,100,0,4
100,100,57,90,32,60,15,30,26,0,89,7,70,34,0,43,6
30,76,53,100,82,74,66,39,31,12,0,3,50,3,100,0,2
0,86,46,100,100,76,81,38,58,0,53,6,8,38,83,40,7
0,64,46,77,81,100,100,99,96,72,88,45,74,19,85,0,1
38,73,84,41,100,0,53,7,73,49,98,90,54,100,0,75,8
100,100,56,81,33,51,26,18,63,0,93,25,47,38,0,20,6
28,6,64,48,100,91,53,100,22,59,80,31,66,0,0,2,8
45,87,41,100,89,96,54,65,68,55,100,26,60,0,0,3,3
97,100,63,90,30,56,11,20,48,0,100,22,39,27,0,4,6
37,71,79,71,49,100,0,45,25,36,66,0,100,51,10,26,8
33,100,21,78,0,53,4,28,77,36,90,51,88,25,100,0,4
32,94,23,68,60,34,33,0,0,26,17,69,41,98,100,100,5
14,73,52,100,66,98,50,55,35,12,0,7,50,3,100,0,1
100,97,58,100,21,70,0,34,21,0,71,1,57,28,11,14,6
32,94,0,57,56,47,59,0,17,4,12,64,42,100,100,95,5
73,100,35,81,10,51,11,19,59,0,100,19,62,44,0,47,6
62,100,37,81,14,55,0,28,55,24,100,45,66,27,58,0,4
32,90,0,60,2,17,51,0,95,27,100,69,66,100,25,72,0
31,87,57,100,55,65,30,37,0,14,26,9,62,5,100,0,2
59,90,16,88,0,41,25,0,77,10,100,55,82,100,35,94,0
