@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
74,87,31,100,0,69,62,64,100,79,100,38,84,0,18,1,9
100,84,31,100,0,88,8,70,15,53,15,35,0,17,0,0,1
60,100,20,76,0,39,10,1,69,0,100,33,56,40,15,10,6
12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52,0
46,100,21,85,0,60,24,42,68,44,100,49,76,25,58,0,4
21,88,0,57,88,58,88,18,15,0,8,42,12,83,100,100,5
0,100,54,98,91,85,71,52,62,17,74,0,100,32,42,37,7
18,88,2,54,40,25,2,0,0,30,20,70,45,100,100,93,5
4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62,0
43,94,15,66,52,38,20,0,5,35,0,83,42,100,100,98,5
85,100,30,84,5,54,0,22,48,0,100,21,66,47,0,37,6
50,97,72,68,100,100,42,86,93,72,89,48,70,7,0,0,9
19,100,4,77,0,51,46,36,100,47,96,49,87,23,77,0,4
3,66,16,100,27,69,14,32,0,0,33,5,67,10,100,11,2
47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,4
88,80,12,80,100,100,100,91,65,68,29,46,6,23,0,0,1
0,59,77,74,100,100,17,93,7,71,82,68,45,35,20,0,9
84,100,46,98,13,60,0,19,53,0,100,32,33,36,10,4,6
26,74,19,49,64,21,20,0,1,25,0,64,45,87,100,100,5
58,100,0,89,44,53,100,21,63,0,62,36,87,80,25,91,8
100,92,64,100,37,77,20,50,11,21,22,0,35,26,0,40,6
38,73,5,64,0,15,53,0,98,34,100,83,47,100,20,60,0
100,100,59,78,25,52,0,24,16,0,79,8,70,29,7,27,6
29,88,23,57,73,40,51,0,0,13,12,58,42,94,100,100,5
100,74,46,65,0,78,36,100,78,88,80,58,78,28,88,0,9
0,52,37,73,76,94,100,100,75,75,53,49,35,22,28,0,1
0,82,47,100,75,72,52,35,22,0,16,22,41,48,100,52,7
40,76,62,100,62,69,34,40,0,16,12,11,57,10,100,0,2
21,85,8,46,61,47,39,0,0,13,11,66,35,98,100,100,5
0,100,67,94,83,65,57,33,41,0,0,20,29,31,100,32,7
51,100,21,77,2,49,0,20,45,0,100,17,51,27,4,7,6
100,66,56,100,23,73,77,34,65,0,0,24,55,58,73,77,8
39,76,74,40,83,2,11,0,50,35,100,67,73,100,0,81,8
79,97,0,100,9,73,89,87,100,95,79,63,60,30,57,0,9
35,61,54,100,58,76,54,31,78,0,100,6,36,5,0,8,1
54,100,28,76,5,51,0,28,66,27,100,49,82,25,69,0,4
4,80,0,100,37,82,33,53,5,28,4,6,52,2,100,0,2
0,95,50,100,100,86,90,49,66,15,49,0,23,32,76,41,7
66,94,100,100,81,96,50,81,47,50,54,19,26,0,0,12,5
41,82,77,98,100,100,59,90,28,69,54,42,39,13,0,0,5
80,100,31,86,63,74,100,95,83,70,81,41,56,15,0,0,9
100,95,87,100,49,74,16,43,6,6,52,0,48,29,0,39,6
100,64,45,45,0,65,22,100,80,99,99,62,85,23,40,0,9
0,98,51,100,100,87,76,48,60,8,46,0,3,24,94,26,7
100,100,50,76,0,36,76,35,99,62,89,96,80,45,72,0,4
100,95,68,100,34,98,19,61,53,61,61,20,31,2,0,0,5
0,95,51,100,91,86,81,45,68,5,55,0,46,34,100,33,7
8,58,56,77,100,100,88,95,60,72,36,48,12,24,0,0,1
0,95,43,100,100,93,64,62,33,29,1,0,1,36,72,36,7
76,70,32,100,10,71,85,41,100,4,4,0,0,39,54,73,8
0,78,39,100,82,75,68,37,54,0,6,25,35,37,100,37,7
0,100,82,95,100,79,100,64,91,48,82,32,55,15,55,0,1
27,84,65,77,71,100,0,88,78,80,100,53,60,24,5,0,9
66,100,33,78,11,53,0,25,20,0,77,1,100,24,41,26,6
66,91,100,100,90,89,53,77,29,52,58,30,38,4,0,0,5
0,97,61,100,100,81,88,50,69,20,51,0,30,30,90,36,7
57,82,65,100,100,88,89,64,79,39,75,13,39,2,0,0,3
0,83,35,100,71,91,63,46,57,0,40,17,60,34,100,34,7
16,78,0,100,76,92,100,78,77,35,74,0,98,32,27,38,7
48,99,9,100,44,82,64,89,92,56,100,18,55,0,0,5,9
85,69,47,100,0,75,44,38,72,0,16,16,57,55,100,87,8
0,81,7,96,58,100,100,100,89,75,77,50,67,25,56,0,7
0,48,35,64,66,82,100,100,94,75,85,50,84,24,93,0,1
4,68,28,98,75,100,64,65,31,36,0,8,43,0,100,6,2
29,84,65,100,87,74,69,45,38,19,0,0,49,6,100,12,2
31,93,7,59,8,20,54,0,98,27,100,65,60,94,0,100,0
55,70,73,100,62,66,49,26,30,0,0,2,50,3,100,6,1
99,97,47,100,8,74,0,41,28,11,85,0,100,22,38,24,6
33,69,57,100,87,75,66,39,24,15,0,15,51,14,100,0,2
86,88,33,65,0,87,58,100,87,67,100,31,93,0,19,7,9
34,76,0,41,8,0,65,11,100,47,99,90,42,100,7,67,0
0,91,26,57,52,22,8,0,4,39,4,81,41,100,100,98,5
40,94,22,95,0,45,23,0,83,10,100,58,61,100,19,75,0
0,92,33,100,97,83,82,41,59,0,100,9,82,37,7,45,7
63,93,36,100,30,74,58,85,80,53,100,20,60,0,0,8,9
100,97,48,100,12,80,9,42,51,53,80,28,49,0,0,5,5
0,32,34,50,63,76,94,100,100,84,86,55,73,27,70,0,1
54,92,5,69,51,52,50,3,0,0,12,43,45,86,100,100,5
69,100,43,92,15,58,5,21,50,0,100,20,48,34,0,15,6
0,91,36,100,62,83,57,60,70,39,100,22,78,4,39,0,3
0,64,37,82,85,99,100,100,85,75,76,50,70,24,67,0,1
27,82,5,39,30,0,80,15,100,59,74,100,23,95,0,53,0
0,99,56,100,72,80,54,41,49,0,22,18,41,36,100,39,7
51,100,93,95,64,73,70,61,100,39,82,12,38,0,0,7,3
42,80,19,62,51,28,13,0,0,26,11,70,46,100,100,98,5
70,69,100,95,40,100,0,74,53,75,78,57,51,28,21,0,9
10,71,57,100,91,76,65,37,30,0,0,11,30,31,100,33,7
100,100,54,85,21,60,0,33,2,5,52,0,54,22,1,17,6
28,61,59,27,33,0,2,20,63,46,100,79,48,100,0,74,8
7,97,15,68,65,39,31,0,0,25,4,77,33,97,100,100,5
75,100,30,73,0,44,62,44,100,51,70,78,55,38,38,0,4
31,78,0,57,14,13,59,0,100,23,98,69,62,100,19,91,0
27,99,50,100,40,57,19,21,0,14,33,15,65,0,100,12,2
57,100,35,87,9,58,0,28,29,2,100,0,71,16,5,5,6
34,100,32,100,8,64,0,27,41,0,100,10,76,42,19,60,6
41,100,0,80,52,71,68,77,83,49,100,19,65,0,6,2,9
100,100,79,89,57,75,36,60,14,44,0,29,0,13,29,0,1
52,100,21,75,5,49,0,22,34,1,100,0,95,22,35,16,6
0,90,67,100,85,68,65,34,40,0,4,16,14,40,100,44,7
100,100,31,89,36,55,70,22,23,0,0,28,43,58,86,89,8
69,100,22,80,0,34,31,0,80,28,100,75,56,99,7,71,0
86,71,100,100,58,79,24,51,0,17,28,0,43,25,2,21,6
0,80,39,100,73,83,38,57,60,42,100,22,62,1,9,0,3
0,94,49,99,100,100,73,67,54,26,45,0,22,39,71,50,7
0,5,18,35,47,63,76,88,100,100,79,68,60,35,58,0,1
60,59,98,26,48,0,25,19,77,49,100,85,43,100,0,70,8
7,100,0,77,0,55,20,33,96,42,87,45,85,22,100,0,4
100,100,12,94,0,72,85,83,94,85,81,56,65,27,62,0,9
100,100,9,95,0,52,98,26,48,0,46,45,98,90,18,71,8
0,85,43,100,100,95,85,74,44,57,33,37,50,16,9,0,3
0,31,52,59,46,100,11,81,65,52,100,17,38,0,9,26,8
48,100,16,79,0,46,12,12,55,0,100,10,75,29,33,16,6
5,84,38,100,53,73,32,42,0,19,29,32,69,23,100,0,2
56,100,17,77,0,46,45,27,100,42,83,53,38,28,6,0,4
100,100,56,83,22,57,0,29,11,0,68,0,62,24,6,11,6
45,100,34,79,11,51,0,23,40,0,100,16,51,36,28,23,6
83,95,0,86,56,49,100,13,17,0,48,40,99,79,37,100,8
100,100,54,81,19,59,0,34,11,9,71,0,84,17,17,17,6
63,66,58,100,11,76,36,38,63,0,0,3,36,36,100,62,8
9,77,18,100,74,95,66,68,34,43,0,19,37,2,100,0,2
22,100,34,75,0,43,38,41,100,38,97,68,91,32,72,0,4
31,99,1,59,0,2,62,0,100,47,76,100,20,83,12,28,0
40,100,23,83,0,50,54,38,100,52,97,68,68,36,57,0,4
39,94,0,31,42,0,100,43,95,100,30,69,49,53,30,28,0
50,91,16,70,0,30,29,0,76,24,100,62,89,100,36,85,0
26,87,63,100,83,83,57,57,100,40,90,10,41,0,0,12,3
100,81,64,100,43,68,87,77,81,55,100,20,57,0,0,8,9
16,76,48,100,72,77,42,46,0,23,2,14,53,0,100,13,2
30,63,44,100,89,96,77,56,40,24,0,11,51,19,100,0,2
39,92,89,100,95,77,53,57,91,45,100,17,55,0,0,2,3
11,100,0,87,11,48,69,38,100,50,75,94,53,49,37,0,4
43,87,100,100,77,98,29,77,60,59,95,32,54,4,0,0,5
94,95,44,100,12,77,29,53,80,45,100,11,52,0,0,8,5
22,65,56,100,57,88,49,35,31,0,0,6,52,8,100,12,1
81,100,29,89,0,55,3,15,51,0,94,24,100,64,68,97,0
79,100,46,75,22,48,22,18,65,0,100,17,51,32,0,20,6
12,58,62,79,100,100,88,85,62,64,50,42,25,21,0,0,1
0,65,51,74,87,96,100,100,78,75,54,50,32,25,12,0,1
