@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
50,84,66,100,75,75,51,51,100,42,97,13,49,0,0,7,3
99,80,63,100,25,76,79,68,100,62,97,23,54,0,0,16,9
73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94,8
61,59,58,100,0,84,44,42,80,0,8,5,33,44,100,70,8
40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,5
77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,4
1,88,0,54,59,31,36,0,11,28,4,68,28,97,100,100,5
63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,4
18,73,0,73,10,24,54,0,100,22,95,71,52,100,5,84,0
30,81,87,100,100,98,37,86,46,54,99,32,59,2,0,0,5
100,100,58,83,31,55,17,24,43,0,80,19,50,43,0,39,6
38,94,4,63,0,20,41,0,84,19,100,60,77,98,32,100,0
0,65,38,79,62,100,72,86,77,65,79,43,83,21,100,0,1
22,55,10,60,0,18,46,0,89,28,100,70,68,100,29,69,0
0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0,4
0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,8
100,77,92,100,49,76,18,48,0,15,38,0,75,23,29,27,6
68,100,24,83,0,41,13,0,60,3,99,30,100,71,55,89,0
29,38,61,60,92,83,100,100,73,76,49,50,25,25,0,0,1
13,80,53,71,100,100,23,99,0,71,81,74,74,40,47,0,9
0,100,73,97,95,80,100,64,95,48,82,31,64,15,23,0,1
13,100,0,76,28,53,94,56,100,76,93,66,94,33,91,0,4
48,100,15,83,0,39,23,1,71,0,100,34,86,77,44,98,0
100,100,59,79,26,54,2,28,1,0,58,0,58,21,0,19,6
100,100,68,96,38,70,14,44,0,14,36,0,51,23,3,28,6
0,48,28,64,61,82,92,100,100,84,86,56,73,28,64,0,1
69,100,31,73,39,55,89,62,100,84,63,57,31,28,0,0,4
39,80,21,60,35,19,12,0,0,31,16,72,51,98,100,100,5
80,100,60,76,26,52,0,28,46,11,97,29,100,24,100,0,4
91,100,66,88,31,58,15,26,50,0,100,17,67,45,0,47,6
100,75,95,100,24,81,38,44,69,8,0,0,45,33,96,64,8
65,96,81,66,100,100,40,92,71,64,93,45,65,5,0,0,9
22,98,0,75,4,18,55,0,100,36,84,89,34,100,21,46,0
67,97,19,74,0,30,34,0,79,32,100,76,58,100,10,73,0
34,79,66,100,83,72,52,51,100,49,91,13,43,0,0,14,3
0,68,73,45,100,8,20,0,37,38,92,72,85,100,7,81,8
31,88,5,50,4,8,57,0,100,30,100,71,56,100,0,92,0
33,80,23,100,87,96,97,68,79,44,100,16,44,0,0,22,3
74,100,30,76,0,50,55,49,100,72,77,56,52,28,35,0,4
11,84,52,100,100,96,83,66,72,50,87,16,45,0,0,11,3
0,78,40,100,97,78,69,39,44,0,100,7,35,37,22,73,8
24,66,100,89,30,66,88,32,34,0,0,34,61,72,77,100,8
